scheme_name,returns_5yr,predicted_5yr
Tata Large & Mid Cap Fund,14.0,12.18741
SBI Equity Hybrid Fund,10.8,12.185094
Edelweiss Flexi Cap Fund,12.1,12.164758
HDFC Gold Fund,13.4,12.148872
ICICI Pru FMCG Fund,13.5,12.1065645
Aditya Birla SL Frontline Equity Fund,10.6,12.058999
Tata Banking & Financial Services Fund,12.6,11.9983
Sundaram LT Tax Advantage Fund,12.5,11.981736
Nippon India Focused Equity Fund,11.9,11.967513
Bank of India Mid & Small Cap Equity & Debt Fund,10.4,11.960598
Union Flexi Cap Fund,12.9,11.935497
AXIS Bluechip Fund,12.1,11.930266
ICICI Pru S&P BSE Sensex Index Fund,12.9,11.919406
ICICI Pru Banking & Financial Services – DirectGrowth,9.7,11.9180155
HDFC Index Fund,12.8,11.910145
SBI Long Term Equity Fund,11.6,11.90058
HDFC Infrastructure Fund,5.3,11.89706
ICICI Pru Income Optimizer Fund,8.8,11.895608
Edelweiss Large Cap Fund,12.8,11.895587
Bank of India Tax Advantage Fund,13.2,11.891749
HDFC Top 100 Fund,11.9,11.886201
ICICI Pru Passive Strategy Fund,10.9,11.871099
SBI Flexi Cap Fund,11.0,11.865809
UTI-Mastershare – Direct Growth,11.5,11.860901
Franklin India Opportunities Fund,11.5,11.847558
Canara Robeco Consumer Trends Fund,15.1,11.825697
Nippon India Index Fund,13.0,11.825385
Tata Ethical Fund,13.1,11.797525
Union Long Term Equity Fund,12.8,11.788299
Invesco India Largecap Fund,11.1,11.7762
Invesco India Gold Fund,13.2,11.77056
Navi 3 In 1 Fund,12.4,11.751592
Sundaram LT Tax Advantage Fund,11.5,11.735382
HDFC Tax Saver Fund,10.3,11.688925
ICICI Pru Thematic Advantage Fund,14.6,11.688672
LIC MF Nifty 50 Index Fund,11.7,11.6736
JM Flexicap Fund,13.8,11.665916
HSBC Midcap Fund,8.8,11.653657
Aditya Birla SL Infrastructure Fund,9.2,11.623521
Tata S&P BSE Sensex Index Fund,12.8,11.62304
Sundaram Large and Mid Cap Fund,11.7,11.604787
Aditya Birla SL FP FoF – Aggressive – Direct Growth,10.7,11.578354
ICICI Pru Regular Gold Savings Fund,13.1,11.551143
Sundaram Mid Cap Fund,8.2,11.550661
ICICI Pru Nifty 50 Index Fund,11.9,11.536413
ICICI Pru Balanced Advantage Fund,10.4,11.532992
SBI Banking & Financial Services Fund,12.5,11.530857
Baroda BNP Paribas Focused Fund,9.9,11.529864
Franklin India Taxshield – Direct Growth,11.4,11.525177
Tata Nifty 50 Index Fund,12.0,11.523499
SBI Nifty Index Fund,11.8,11.517901
Sundaram Focused Fund,13.1,11.477025
UTI-Nifty 50 Index Fund,12.0,11.47627
IDBI India Top 100 Equity Fund,12.4,11.4505625
Aditya Birla SL Nifty 50 Index Fund,11.6,11.445408
HDFC Retirement Savings Fund,14.8,11.438722
HDFC Index Fund,12.0,11.429439
Franklin India NSE Nifty 50 Index Fund,11.6,11.427907
Tata India Pharma & Healthcare Fund,14.8,11.408469
AXIS Gold Fund,13.7,11.39521
DSP Equity Opportunities Fund,11.7,11.392027
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,15.3,11.387754
HSBC Business Cycles Fund,8.7,11.382943
Nippon India Quant Fund,11.9,11.37345
Indiabulls Tax Savings Fund,7.8,11.360938
Baroda BNP Paribas Large Cap Fund,12.8,11.352072
IDBI Nifty 50 Index Fund,11.8,11.341242
AXIS Flexi Cap Fund,12.3,11.32684
SBI Gold Fund,13.4,11.3230505
Nippon India Index Fund,11.9,11.314212
Motilal Oswal Long Term Equity Fund,10.0,11.313991
Edelweiss Recently Listed IPO Fund,10.9,11.298516
LIC MF S&P BSE Sensex Index Fund,12.6,11.269117
SBI Multi Asset Allocation Fund,9.6,11.255172
Quantum Equity Fund,9.1,11.2444725
SBI Focused Equity Fund,12.2,11.240578
HDFC Children’s Gift Fund,12.9,11.230453
Aditya Birla SL Flexi Cap Fund,10.4,11.227987
IDBI Focused 30 Equity Fund,10.2,11.203782
Franklin India Dynamic Asset Allocation FoFs-Dir-G,9.2,11.188434
DSP Flexi Cap Fund,12.0,11.145854
Aditya Birla SL Dividend Yield Fund,10.0,11.138962
Aditya Birla SL India GenNext Fund,13.3,11.123071
Edelweiss Aggressive Hybrid Fund,13.0,11.103345
IDBI Gold Fund,12.9,11.094352
Nippon India Gold Savings Fund,13.1,11.082055
SBI Healthcare Opportunities Fund,13.6,11.077765
Nippon India Pharma Fund,15.6,11.070623
Aditya Birla SL Gold Fund,13.2,11.065521
UTI-Core Equity Fund,10.2,11.0651455
Sundaram Tax Savings Fund,9.9,11.064828
UTI-Infrastructure Fund,9.4,11.03884
Edelweiss Long Term Equity Fund,10.2,11.02609
Franklin India Technology Fund,15.9,11.024976
Quantum Tax Saving Fund,8.9,11.0192375
Tata India Consumer Fund,10.6,10.989743
HSBC Value Fund,11.6,10.961972
SBI Magnum Comma Fund,11.3,10.946965
Kotak Gold Fund,13.7,10.91248
Quantum Gold Savings Fund,13.0,10.896607
Aditya Birla SL Focused Equity Fund,10.7,10.886597
DSP World Gold Fund,10.2,10.880843
Franklin India Prima Fund,10.0,10.880374
Sundaram Diversified Equity – Direct Growth,8.9,10.825819
Aditya Birla SL FP FoF – Moderate – Direct Growth,9.4,10.804836
Invesco India Growth Opportunities Fund,11.0,10.796051
Invesco India Financial Services Fund,10.9,10.794199
Aditya Birla SL Banking&Financial Services-DirGrowth,9.2,10.784385
Aditya Birla SL Asset Allocator FoF-Dir Growth,9.7,10.757548
Sundaram Nifty 100 Equal Weight Fund,8.2,10.757149
Baroda BNP Paribas Aggressive Hybrid Fund,13.3,10.743079
UTI-Banking and Financial Services Fund,6.7,10.736398
Taurus Tax Shield – Direct Growth,10.6,10.727383
DSP World Mining Fund,15.0,10.712507
Sundaram Dividend Yield Fund,11.7,10.683525
JM Large Cap Fund,10.4,10.6823
Franklin India Equity Advantage Fund,9.2,10.680571
JM Tax Gain Fund,12.8,10.676085
HSBC Corporate Bond Fund,13.3,10.675588
LIC MF Large & Mid Cap Fund,10.9,10.670508
Invesco India PSU Equity Fund,12.6,10.647431
DSP Midcap Fund,9.5,10.610714
Aditya Birla SL Small Cap Fund,5.4,10.604463
Franklin India Bluechip Fund,9.7,10.594694
UTI-Long Term Equity Fund,10.9,10.576913
UTI-Multi Asset Fund,7.5,10.572209
SBI Magnum Global Fund,11.5,10.57091
Aditya Birla SL Midcap Fund,8.3,10.539088
Aditya Birla SL FP FoF – Conservative – Direct Growth,8.2,10.52993
HSBC Flexi Cap Fund,9.2,10.514772
Taurus Nifty 50 Index Fund,12.3,10.503892
Tata Large Cap Fund,11.3,10.492094
IDBI Midcap Fund,7.7,10.481973
Tata India Tax Savings Fund,12.0,10.474181
Taurus Infrastructure Fund,8.9,10.461691
Union Largecap Fund,9.9,10.452103
UTI-Dividend Yield Fund,11.3,10.422545
LIC MF Banking & Fina Serv Fund,8.5,10.391797
HSBC Equity Hybrid Fund,13.3,10.384784
Kotak Equity Hybrid Fund,12.8,10.382968
HDFC Hybrid Equity Fund,11.3,10.374915
AXIS Triple Advantage Fund,10.4,10.301743
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,6.9,10.297993
Quantum Multi Asset Fund,8.1,10.29629
Mirae Asset Hybrid – Equity Fund,12.2,10.289857
DSP Focus Fund,8.9,10.275254
HSBC Managed Solutions Growth Fund,9.2,10.254197
Taurus Banking & Financial Services-Direct Growth,11.9,10.243013
PGIM India GEO Fund,14.1,10.238978
Baroda BNP Paribas ELSS Fund,10.5,10.19874
Nippon India Value Fund,12.2,10.16379
Nippon India Tax Saver (ELSS) Fund,6.5,10.15722
PGIM India Large Cap Fund,10.9,10.152656
Nippon India Vision Fund,9.3,10.1417055
ICICI Pru Debt Management Fund,7.0,10.097377
UTI-Healthcare Fund,12.0,10.096224
JM Equity Hybrid Fund,11.2,10.080945
Tata Young Citizens Fund,10.3,10.072516
Quantum Long Term Equity Value Fund,8.8,10.054073
Taurus Discovery (Midcap) Fund,10.9,10.053051
Sundaram Consumption Fund,8.8,10.047704
SBI PSU Fund,7.4,9.987078
L&T Focused Equity Fund,11.3,9.977264
Invesco India Tax Plan – Direct Growth,10.8,9.972234
Motilal Oswal Focused Fund,10.6,9.963331
SBI Magnum Children’s Benefit Fund,8.3,9.961713
AXIS Corporate Debt Fund,7.3,9.95232
JM Value Fund,12.4,9.905025
ICICI Pru Child Care Fund,8.8,9.896649
