scheme_name,returns_5yr,predicted_5yr
AXIS Treasury Advantage Fund,6.6,6.1588492
Canara Robeco Short Duration Fund,6.5,6.0982847
SBI Savings Fund,6.2,6.0668306
Invesco India Arbitrage Fund,5.6,6.05849
HDFC Money Market Fund,6.3,6.056793
JM Medium to Long Duration Fund,3.1,6.0501013
Invesco India Money Market Fund,5.8,6.0070114
HDFC Low Duration Fund,6.7,5.996152
Kotak Money Market Fund,6.1,5.990986
PGIM India Short Duration Fund,4.6,5.9823923
SBI Overnight Fund,4.6,5.937015
Nippon India Low Duration Fund,6.5,5.9295063
HSBC Medium Duration Fund,6.7,5.9222174
Canara Robeco Ultra Short Term Fund,5.3,5.9178205
Sundaram Liquid Fund,3.3,5.878503
Baroda BNP Paribas Arbitrage Fund,5.6,5.8773537
ICICI Pru Money Market Fund,6.1,5.8615637
Sundaram Short Duration Fund,4.8,5.8516636
Bank of India Ultra Short Duration Fund,5.7,5.8239546
DSP Low Duration Fund,6.3,5.82266
Nippon India Arbitrage Fund,5.7,5.8206997
SBI Magnum Low Duration Fund,6.4,5.8128448
UTI-Liquid – Cash Plan – Direct Growth,5.3,5.7507305
Baroda BNP Paribas Low Duration Fund,6.5,5.7379856
Sundaram Debt Oriented Hybrid Fund,6.2,5.7379646
HSBC Medium to Long Duration Fund,6.5,5.737892
DSP Savings Fund,5.9,5.737032
Mahindra Manulife Liquid Fund,5.4,5.7163296
IDBI Ultra Short Term Fund,5.9,5.7153506
ICICI Pru Floating Interest Fund,7.2,5.704185
AXIS Arbitrage Fund,5.6,5.702906
DSP Bond Fund,4.9,5.695545
LIC MF Equity Hybrid Fund,8.3,5.6908817
HSBC Arbitrage Fund,5.5,5.663993
Aditya Birla SL Liquid Fund,5.4,5.6451797
Quantum Liquid Fund,4.9,5.6142774
IDBI Short Term Bond Fund,6.9,5.5843725
Edelweiss Money Market Fund,7.3,5.5731535
Tata Treasury Advantage Fund,5.2,5.5706944
Kotak Low Duration Fund,6.9,5.568121
ICICI Pru Equity – Arbitrage Fund,5.5,5.557388
HSBC Money Market Fund,6.0,5.5282636
LIC MF Savings Fund,5.6,5.5246553
ICICI Pru Savings Fund,6.7,5.5110974
Motilal Oswal Ultra Short Term Fund,1.8,5.5060363
HDFC Medium Term Debt Fund,7.4,5.4766555
UTI-Treasury Advantage Fund,4.8,5.4441004
Nippon India Credit Risk Fund,4.4,5.4035463
Mirae Asset Savings Fund,5.9,5.3990664
AXIS Liquid Fund,5.4,5.3826356
ICICI Pru Credit Risk Fund,8.1,5.37449
Navi Ultra Short Term Fund,13.3,5.354118
Invesco India Treasury Advantage Fund,6.4,5.351872
Edelweiss Liquid Fund,5.4,5.3198414
Kotak Liquid Fund,5.3,5.312414
Bank of India Short Term Income – Direct Growth,4.0,5.3046193
SBI Credit Risk Fund,7.0,5.2946405
Indiabulls Arbitrage Fund,4.5,5.1685667
AXIS Credit Risk Fund,6.8,5.1417074
Aditya Birla SL Credit Risk Fund,7.2,5.13912
Canara Robeco Savings Fund,5.9,5.109872
Aditya Birla SL Arbitrage Fund,5.5,5.0940924
UTI-Banking & PSU Debt Fund,5.6,5.0537367
UTI-Arbitrage Fund,5.5,5.033697
DSP Credit Risk Fund,4.5,5.016606
Baroda BNP Paribas Liquid Fund,5.4,5.0098205
PGIM India Arbitrage Fund,5.2,5.0075016
IIFL Liquid Fund,4.8,4.9018173
Nippon India Liquid Fund,5.4,4.892537
IDBI Liquid Fund,5.4,4.878846
Kotak Credit Risk Fund,6.4,4.8171844
Franklin India Liquid Fund,5.4,4.810383
JM Liquid Fund,5.3,4.799752
Baroda BNP Paribas Medium Duration Fund,3.5,4.7994385
Mirae Asset Cash Management Fund,5.3,4.7767134
Sundaram Arbitrage Fund,2.8,4.771264
UTI-Medium Term Fund,4.6,4.733491
LIC MF Liquid Fund,5.3,4.7193937
JM Arbitrage Fund,4.5,4.6722035
SBI Arbitrage Opportunities Fund,5.4,4.668804
HDFC Arbitrage Fund,5.2,4.6599298
PGIM India Low Duration Fund,2.0,4.5810776
HSBC Low Duration Fund,5.8,4.5306873
Bank of India Liquid Fund,5.3,4.5224924
Tata Liquid Fund,5.3,4.5022154
PGIM India Liquid Fund,5.4,4.487483
HDFC Credit Risk Debt Fund,7.7,4.4811196
HSBC Liquid Fund,5.3,4.4248505
DSP Liquidity Fund,5.3,4.415249
Nippon India Strategic Debt Fund,-0.9,4.295595
Canara Robeco Liquid Fund,5.1,4.284561
Sundaram Medium Term Bond Fund,5.3,4.2539697
Invesco India Liquid Fund,5.3,4.170981
Indiabulls Liquid Fund,5.2,4.121751
Sundaram Low Duration Fund,1.8,4.068935
Baroda BNP Paribas Credit Risk Fund,7.6,3.9977531
HSBC Credit Risk Fund,5.1,3.9396605
UTI-Credit Risk Fund,-0.9,3.9148703
IDBI Credit Risk Fund,3.7,3.7353945
Bank of India Credit Risk Fund,-4.1,2.0058386
